danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	id	duration_ms	time_signature	category
0.74	0.501	1	-6.339	1	0.0592	0.019	0.0	0.114	0.119	83.5	7qM1BWAsZMTYh4BcYLb0uQ	231011	4	HipHop
0.882	0.662	0	-6.382	1	0.242	0.0124	0.0	0.106	0.57	120.034	6RfhBNU1FPWTG7VESlfgOl	106000	4	HipHop
0.892	0.577	2	-4.299	1	0.341	0.0121	0.0	0.243	0.64	145.935	1zwvbkUqTozLnmIECvBfgs	94521	4	HipHop
0.839	0.506	5	-6.714	0	0.133	0.00207	0.0	0.13	0.44	154.12	4R67rQNSbbsR4TdUVOIdez	149610	4	HipHop
0.535	0.809	1	-4.648	1	0.553	0.209	0.0	0.115	0.179	79.942	6MZoicv1j68tNiSJyKwNrB	112941	4	HipHop
0.826	0.616	2	-5.479	1	0.328	0.241	0.0	0.287	0.612	127.925	1z7LV5wkExwW8YJk0IrPUA	181199	4	HipHop
0.849	0.424	5	-9.579	0	0.324	0.0635	0.0	0.0834	0.153	145.887	2BcMwX1MPV6ZHP4tUT9uq6	242966	4	HipHop
0.798	0.574	1	-6.548	1	0.157	0.024	0.0	0.122	0.309	155.964	4eL3XeuGaEoVT8ttDh3hwY	138587	4	HipHop
0.841	0.732	7	-5.186	0	0.19	0.0115	2.18e-05	0.136	0.576	149.012	1tkipCYkIgti8f1tqjfcWe	143480	4	HipHop
0.666	0.465	1	-8.545	1	0.26	0.0503	0.0	0.215	0.292	167.937	40iJIUlhi6renaREYGeIDS	291175	4	HipHop
0.855	0.492	0	-7.578	0	0.0483	0.0775	6.71e-06	0.111	0.385	109.975	08F16baYbciTva9P4BvpiI	240000	4	HipHop
0.711	0.611	1	-5.453	1	0.329	0.00575	0.0	0.231	0.144	134.14	7Bpx2vsWfQFBACRz4h3IqH	252070	4	HipHop
0.681	0.63	1	-5.585	1	0.0385	0.00383	0.0	0.139	0.183	151.951	3J4VKkUpLvomXJbn9ZAypO	161053	4	HipHop
0.545	0.82	8	-4.489	1	0.275	0.0951	0.0	0.29	0.357	141.908	25GyyK9CyZRiDCsPY51fIT	150476	4	HipHop
0.772	0.563	11	-8.188	0	0.452	0.0107	0.0	0.304	0.521	160.064	4c7LkE1lSNj3RR4cZo0jEi	133631	4	HipHop
0.773	0.623	2	-5.267	1	0.196	0.00194	0.0	0.133	0.13	153.1	5qyZ6LcHvBiIHLaoED8K4g	150527	4	HipHop
0.803	0.597	11	-6.035	0	0.141	0.000619	4.5e-06	0.323	0.331	136.008	0k1WUmIRnG3xU6fvvDVfRG	257605	4	HipHop
0.889	0.594	10	-6.593	0	0.104	0.563	0.0	0.175	0.758	119.984	6fSRCnfSfTBCbgoa6Nwhim	123200	4	HipHop
0.8	0.541	10	-5.05	0	0.0375	0.0252	0.0	0.146	0.194	135.99	25r6MZ4Gtd76l43qnZI1DG	183514	4	HipHop
0.739	0.74	5	-5.86	0	0.333	0.0045	0.0	0.161	0.488	75.575	4yNoUQkYf1QF8iYlEzNynH	279853	4	HipHop
0.803	0.495	11	-5.724	1	0.321	0.121	0.0	0.104	0.628	80.972	15OlC497ScJt9N2BS8lOev	195154	4	HipHop
0.559	0.532	5	-7.679	0	0.353	0.174	0.0	0.136	0.529	85.843	4HTY26kzdGCKJF1EqcRd2J	186060	5	HipHop
